induction,electrostatics,dispersion,total,exchange
-0.38713886,-21.60873128,-3.69992367,36.59478248,62.29057629
-3.0651657,-0.19149907,-2.08899868,7.07716328,12.42282673
-0.04201702,-1.38817474,-0.0948147,-1.47055353,0.05445293
-3.11654479,-20.99424812,-3.00993725,7.24857143,34.3693016
-0.01064848,-0.64313634,-0.03890632,-0.68820319,0.00448794
-0.00288375,-0.34506214,-0.01203357,-0.35988774,9.172e-05
-0.03612514,-0.52098987,-0.10521037,-0.57803692,0.08428845
-1.41107411,-7.15916909,-1.56590913,0.74445373,10.88060606
-0.11634756,-0.85672227,-0.21194299,-0.70980305,0.47520977
-0.21857332,-1.64908887,-0.38827108,-0.71600216,1.53993112
-0.02304532,0.42269503,-0.05166933,0.35855948,0.01057911
-0.00670511,-0.65805946,-0.02099686,-0.68497714,0.0007843
-0.01781422,0.06197661,-0.05367727,0.00373361,0.01324848
-0.14877233,0.72060944,-0.24399352,1.38261351,1.05476992
-0.36487066,-1.89463939,-0.55097451,-0.19864965,2.61183492
-0.89776305,0.62520535,-1.09574554,9.96965031,11.33795355
-0.00277151,0.38397422,-0.01291783,0.36854297,0.00025809
-0.06281304,0.28669518,-0.13286321,0.23449567,0.14347675
-3.24442775,-12.62598017,-2.49993184,5.47061429,23.84095404
-0.01702795,0.45060239,-0.0378205,0.4017936,0.00603966
-0.05012985,1.52690626,-0.0828927,1.49809287,0.10420916
-0.00652422,0.31011909,-0.0246086,0.28210778,0.00312151
-0.00982707,-0.1917877,-0.03821502,-0.22908676,0.01074302
-2.09042453,-9.33619462,-1.71522348,-1.40482238,11.73702025
-0.06506032,-0.5336264,-0.15510155,-0.50023631,0.25355197
-0.49527188,-0.02935669,-0.66269927,1.02961143,2.21693927
-0.82185608,-5.32769388,-0.86593221,-1.01918835,5.99629383
-0.07127214,0.61031177,-0.16129037,0.63568813,0.25793886
-0.16673522,0.79143455,-0.25170439,0.83666233,0.46366739
-0.00240099,-0.31603156,-0.01305205,-0.33122301,0.0002616
-0.05502063,-0.36572213,-0.16058393,-0.35225565,0.22907104
-0.03033665,-0.88516918,-0.08946293,-0.95196969,0.05299908
-6.20349532,-18.71223866,-3.22640872,3.6531907,31.79533341
-1.44324957,-5.13595149,-1.17297512,-0.87255949,6.87961669
-0.46172625,-1.93129528,-0.6659228,0.36216397,3.4211083
-0.02468861,0.17552914,-0.07038763,0.10890423,0.02845133
-0.07530443,-0.27687358,-0.14207721,-0.18912335,0.30513187
-0.20527286,0.42285505,-0.46587395,1.56581417,1.81410594
-1.45315627,-10.10831995,-2.45361419,23.90707337,37.92216378
-1.91324089,-39.6259878,-5.88966905,39.82752515,87.25642289
-0.06424767,-0.85513552,-0.16424098,-0.86197221,0.22165195
-0.00896209,0.72534843,-0.03749494,0.6872847,0.0083933
-0.02120449,-0.8484287,-0.04227545,-0.90442237,0.00748628
-0.00590596,-0.47662336,-0.01957542,-0.49988483,0.00221991
-1.05904186,-7.3435355,-2.27740049,24.71135331,35.39133116
-1.07143778,-3.58688516,-1.01172135,0.20524382,5.8752881
-0.00106117,-0.38594822,-0.00790086,-0.39485527,5.498e-05
-0.3844108,-1.79439076,-0.49130988,-1.23475332,1.43535812
-1.25866955,-1.33653487,-1.74726591,15.8717843,20.21425464
-0.02330224,-0.37716888,-0.06987635,-0.41954914,0.05079834
-0.00393224,-0.08990177,-0.02170125,-0.11449675,0.0010385
-0.68355371,-4.54658364,-0.51620713,-3.50721341,2.23913106
-0.20201576,-2.01791767,-0.32787171,-1.83047887,0.71732628
-0.01617668,0.24777136,-0.0499784,0.19750988,0.0158936
-0.02041165,-0.16322508,-0.06101805,-0.22064606,0.02400872
-3.00769734,-4.978834,-2.37732925,4.92571477,15.28957536
-0.63068117,0.04261523,-0.80256729,3.79986849,5.19050171
-0.34264146,-0.91210778,-0.53638718,1.52668777,3.31782419
-1.62449416,-9.21435878,-1.31174583,-3.18436247,8.96623631
-4.74701336,-22.64550775,-4.9142121,35.87220995,68.17894316
-1.75326139,-7.94346989,-2.89430173,22.84892191,35.43995492
-1.00267921,1.29522681,-1.21178807,7.69698293,8.6162234
-0.52902754,-2.72059402,-0.6638902,-0.34700374,3.56650803
-0.00410487,0.32671928,-0.0270569,0.29701603,0.00145852
-0.02039284,0.53117014,-0.06770812,0.49233917,0.04926999
-1.29898586,-8.91082337,-1.50142771,0.91816326,12.62940021
-0.01294803,0.02666283,-0.05849488,-0.0147825,0.02999758
-0.61899285,-3.64161789,-0.52795064,-2.5540582,2.23450318
-0.74875288,-3.55690003,-1.13555561,3.44104197,8.8822505
-1.03111076,-4.95034129,-1.35096785,6.16830631,13.50072621
-0.24673606,0.27307156,-0.39575875,0.97199693,1.34142017
-0.23333286,1.29296049,-0.39522048,1.85580488,1.19139772
-0.00126046,0.31885017,-0.00879544,0.30885715,6.288e-05
-0.83706553,-4.34932339,-0.8257594,-0.96807299,5.04407533
-0.03207811,1.06086778,-0.072566,0.99241497,0.0361913
-0.03794483,0.96925795,-0.10851905,0.96439398,0.14159991
-0.0169534,0.84505603,-0.05428871,0.79459121,0.02077729
1.7117523,-29.81386225,-4.09471913,43.14384103,75.34067011
-3.25738555,-5.38976824,-2.73715047,10.78620471,22.17050897
-0.01349685,0.57133689,-0.04245649,0.52544194,0.01005839
-0.02103139,0.30875367,-0.0751694,0.28736955,0.07481666
-0.23234358,1.8416917,-0.32375991,2.50394291,1.21835471
-0.00198316,-0.22676662,-0.01043562,-0.23912335,6.205e-05
-0.09157323,-0.51240897,-0.20288934,-0.56141421,0.24545733
-0.3747803,-1.48702834,-0.43386507,-0.69082456,1.60484916
-0.15120986,-2.7654655,-0.2799061,-2.20071891,0.99586255
-0.27410937,0.77840572,-0.40341803,0.94060553,0.83972721
-0.01905786,0.76180803,-0.05461526,0.7202517,0.0321168
-0.12816217,0.67524117,-0.25117172,0.95204885,0.65614157
-0.00756669,0.22269938,-0.03987534,0.18023766,0.00498032
-0.01919665,-0.29982461,-0.06052355,-0.34052445,0.03902037
-0.01588186,-0.19730146,-0.05306072,-0.24939867,0.01684537
-0.09384726,-1.76539205,-0.1891436,-1.66481956,0.38356336
-0.20760965,-19.31130255,-3.35628366,31.52483307,54.40002893
-0.92669417,-5.73664382,-0.8299231,-2.75381182,4.73944927
-0.52850205,-4.09811127,-0.68687802,-1.58200421,3.73148713
-0.94059544,-7.14666092,-2.07765748,22.45345608,32.61836991
-0.07032223,-0.79634505,-0.117012,-0.87165203,0.11202726
-0.41654072,-25.43794552,-4.49456684,33.67707755,64.02613063
-1.62411377,-5.41825628,-1.39462656,2.68086734,11.11786395
-0.24398556,1.7192502,-0.37087317,3.09627927,1.9918878
-0.62484369,-1.38242446,-0.94756986,2.62279842,5.57763642
-5.66298575,-20.20784755,-3.04116227,1.70310364,30.61509921
-0.03903585,0.93323147,-0.1001995,0.88089466,0.08689853
-0.02522121,-0.88785548,-0.06499708,-0.92793286,0.05014091
-1.68850417,-15.21786213,-2.41204857,7.39474371,26.71315859
-1.01432273,-4.49133345,-0.82918699,-1.8214176,4.51342557
-0.01579088,0.45034016,-0.04137796,0.39944613,0.00627481
-0.13323498,1.28099777,-0.23695999,1.3728073,0.4620045
-4.22362912,-21.01064852,-4.57384846,28.8148207,58.6229468
-0.00488422,0.17245823,-0.01770919,0.15032712,0.00046231
-0.00540225,-0.62808424,-0.02085106,-0.65362683,0.00071072
-0.4501524,-3.85778403,-0.63586593,-2.35068848,2.59311388
-0.10337583,-0.5055523,-0.17800922,-0.54067913,0.24625822
-0.01351909,-0.78495638,-0.03984087,-0.83292175,0.00539459
-0.55444305,1.41128212,-1.01920813,5.67577631,5.83814538
-0.01899058,0.3094297,-0.0812965,0.25652309,0.04738047
-0.24415449,-1.79343319,-0.33322925,-1.39380431,0.97701263
-0.86343123,-0.19101678,-1.32832963,11.01582654,13.39860417
-0.85286905,-4.29122977,-0.92798543,-0.34620219,5.72588206
-0.04332611,-0.23587438,-0.13023272,-0.15810514,0.25132807
-0.17438279,-1.81868057,-0.26407752,-1.44507189,0.81206899
-0.25734374,-0.24517895,-0.45980812,0.77679965,1.73913046
-0.05534038,-0.56694922,-0.11828561,-0.593098,0.14747721
-1.2107276,-7.93480284,-2.78565145,18.90168278,30.83286467
-0.09634846,-0.24077649,-0.17688404,-0.15580066,0.35820833
-2.21086778,-9.8817512,-1.4940996,-3.69146991,9.89524866
-0.69949668,-4.66809471,-0.79195853,-1.01807682,5.1414731
-0.30016656,1.73994646,-0.39342413,2.07920496,1.03284918
-1.15193404,-0.37011305,-1.27349269,4.9879679,7.78350769
-0.10295023,0.46894683,-0.22272949,0.89018808,0.74692098
-0.54538417,-3.61266721,-0.48858704,-2.67320922,1.97342921
-0.00616013,0.28236887,-0.01981149,0.25756038,0.00116313
-0.02939517,-0.90950059,-0.04964648,-0.97144276,0.01709949
-0.70477204,-3.99582725,-0.59845861,-2.37146381,2.92759408
-0.23156178,1.70391764,-0.40010618,3.27605864,2.20380896
-0.01541442,0.76641109,-0.04261304,0.71709534,0.00871171
-0.43939101,3.41587431,-0.46558116,5.0175948,2.50669267
-0.00163284,-0.37044525,-0.00899348,-0.38100545,6.611e-05
-0.00138979,-0.10214491,-0.01889853,-0.12204015,0.0003931
-0.01037943,-0.61412036,-0.0306856,-0.650844,0.00434139
-0.18812131,0.25352501,-0.35293861,0.91179567,1.19933057
-0.04034084,-0.79587288,-0.09612067,-0.81521741,0.11711698
-0.22393251,-2.65862442,-0.26318948,-2.4663383,0.67940812
-0.14900967,0.26735866,-0.23624908,0.37523155,0.49313165
-0.01198865,0.51812485,-0.03320198,0.47821083,0.00527661
-2.81558391,-15.15360914,-2.6047923,7.01194714,27.58593249
-0.42330547,0.76169096,-0.61259845,2.67247889,2.94669185
-3.81001562,-17.48314575,-4.24502876,24.69219532,50.23038545
-0.09149259,-0.6847881,-0.17775048,-0.47233614,0.48169504
-1.24256819,-0.92536444,-1.71230295,12.2933704,16.17360598
-1.10266181,-5.39693238,-2.10303864,19.63917627,28.24180909
-0.04419528,1.25145602,-0.09282541,1.16464464,0.0502093
-0.00949657,0.11700956,-0.02999984,0.08144171,0.00392857
-0.53172661,2.94301619,-0.54146467,5.56644672,3.69662181
2.75403461,-30.43664449,-4.23743106,73.37561972,105.29566066
-0.99292198,-4.56116957,-0.82473262,-2.01931446,4.35950972
-0.55877704,-3.83148826,-0.71564647,-1.58861575,3.51729601
-0.12004775,-1.57307729,-0.29322989,-1.25187796,0.73447698
-0.00090347,0.01146392,-0.01078336,-3.966e-05,0.00018325
-0.02383062,-0.64286393,-0.06717626,-0.70892844,0.02494236
-0.0001714,0.16909771,-0.00484152,0.16409365,8.85e-06
-0.2697249,1.03660644,-0.3714737,1.15308219,0.75767435
-0.45186885,0.58975492,-0.63861782,1.4504756,1.95120734
-2.34567084,-8.0521018,-1.4490077,-1.96673684,9.8800435
-4.59557337,-16.70941398,-2.83179706,6.00735235,30.14413675
-0.01187559,-0.87840647,-0.02818671,-0.91469437,0.00377439
-0.00556775,0.27175461,-0.01979648,0.24758713,0.00119675
-2.02437365,0.415271,-1.87879111,9.08943747,12.57733123
-0.00837629,0.48410446,-0.02129437,0.45538106,0.00094726
-0.0067193,0.36073347,-0.02777749,0.33030551,0.00406884
-2.33894344,1.38973683,-2.5062183,18.69205476,22.14747967
-0.01227883,0.4106206,-0.03443026,0.36974431,0.0058328
-0.00408611,0.04605614,-0.01651677,0.02588775,0.00043449
-1.5951045,-1.90337163,-1.54753058,4.15742299,9.20342971
-0.11350765,-1.29603596,-0.23107911,-0.85833,0.78229272
-0.02630223,0.59707408,-0.07179993,0.5421507,0.04317879
-0.12595366,-1.06544998,-0.32025936,-0.71894026,0.79272274
-0.62037068,-3.36041109,-0.92000004,1.88930299,6.7900848
-0.46189096,-3.89676044,-0.41761823,-3.58703678,1.18923284
-1.98171978,-7.8837773,-1.06942485,-4.37293134,6.56199058
-0.00129956,0.15708033,-0.00461054,0.1511704,1.6e-07
-1.89430505,-4.33276963,-2.15306253,13.9213599,22.30149711
-0.00723603,-0.35043534,-0.02005087,-0.37598034,0.0017419
-0.01119598,0.02532265,-0.03815324,-0.0132237,0.01080288
-0.42168159,-3.03270973,-0.49361089,-2.01944829,1.92855391
-4.93908657,-8.70454304,-3.63696356,12.74883394,30.02942712
-0.01293444,0.22289028,-0.04499864,0.18099958,0.01604237
-0.1447336,2.58857266,-0.21918885,2.84596471,0.6213145
-0.01739728,-0.23320268,-0.05093009,-0.28130672,0.02022333
-0.02641301,-0.3128927,-0.06034534,-0.37714566,0.0225054
-0.06451125,-1.08335459,-0.16145429,-1.02331171,0.28600842
-0.64234254,-1.0799697,-0.86045144,2.67026411,5.25302779
-4.05571923,-14.45281798,-3.17052284,5.19297344,26.87203349
-0.1560706,1.04089462,-0.27106689,1.2605965,0.64683937
-0.03164255,0.60858089,-0.06802514,0.56256025,0.05364705
-0.02284723,-0.86870212,-0.05949111,-0.90994785,0.04109262
-0.02474105,-0.63310493,-0.10036606,-0.6785364,0.07967564
-0.0405404,0.24419198,-0.11389115,0.23599635,0.14623592
-0.19295388,-0.42188193,-0.36358544,0.30439706,1.2828183
-0.00253174,-0.26051415,-0.01465205,-0.27739404,0.0003039
-2.41098882,0.64795649,-2.57496745,17.58772445,21.92572422
-0.21952769,1.83931139,-0.33926383,1.91823605,0.63771618
-0.00615583,-0.29562446,-0.01658745,-0.31767654,0.0006912
-0.28355347,1.69533741,-0.39430821,3.138059,2.12058328
-1.58007957,1.90859908,-1.2475562,4.8731973,5.79223399
2.75922267,-25.58928877,-3.54231422,57.01107196,83.38345227
-0.43140899,1.45298118,-0.58529747,3.17561935,2.73934463
-0.09941142,0.63534327,-0.1915329,0.54612508,0.20172614
-0.06390204,-1.37076428,-0.11734308,-1.39173359,0.16027581
-0.01201194,-0.60091628,-0.04701941,-0.636758,0.02318963
-1.9744201,-5.26720309,-2.06740415,6.80604652,16.11507387
-1.42707962,-7.02601948,-2.29783928,26.21602238,36.96696076
-1.06196749,-4.88193366,-1.57626675,12.34372321,19.86389111
-0.10366672,1.89624414,-0.15508049,1.76816567,0.13066874
-0.00708801,-0.19619269,-0.02247982,-0.22274879,0.00301173
-0.11031019,-0.77478241,-0.16718262,-0.78870553,0.26356969
-0.39922057,0.60124838,-0.71970194,2.92495423,3.44262836
-0.04384044,-1.15986026,-0.06220499,-1.23284206,0.03306362
-2.14660967,-2.04949301,-1.79363016,7.26728022,13.25701307
